""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V1"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"	"transcript_type"
"1"	"p4htmb"	40.5614584853643	0.587991555916087	0.204966562140826	2.8658805549422	0.00415851117438128	0.0384788112658344	"XM_060060920.1"	"Q9NXG6"	1.74e-166	"Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4)"	"Homo sapiens (Human)"	"peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; regulation of erythrocyte differentiation [GO:0045646]"	"GO:0004656; GO:0005506; GO:0005509; GO:0005783; GO:0005789; GO:0016706; GO:0018401; GO:0031418; GO:0045646"	"mRNA"
"2"	"LOC132465678"	9.6617912015879	-0.832125222294305	0.217316226203009	-3.82126132980084	0.000132770868100611	0.00321749535825935	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"patz1"	82.106036349789	0.597558814240537	0.181100102639047	3.30041640872117	0.000965414684566475	0.0139770274362013	"XM_060062968.1"	"Q5NBY9"	0	"POZ (BTB) and AT hook-containing zinc finger 1 (BTB/POZ domain zinc finger transcription factor) (Protein kinase A RI subunit alpha-associated protein) (Zinc finger and BTB domain-containing protein 19) (Zinc finger protein 278)"	"Mus musculus (Mouse)"	"male gonad development [GO:0008584]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of endothelial cell migration [GO:0010596]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]; regulation of gene expression [GO:0010468]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]; T cell differentiation [GO:0030217]"	"GO:0000978; GO:0001227; GO:0001673; GO:0003682; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0007283; GO:0008584; GO:0010468; GO:0010596; GO:0030217; GO:0031625; GO:0045892; GO:0045893; GO:0046872"	"transcript variant X1, mRNA"
"4"	"fkbp5"	427.082158628148	-0.871533009773241	0.194030516051781	-4.49232403503518	7.04501223059838e-06	0.000348371094659691	"XM_060063107.1"	"Q13451"	0	"Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)"	"Homo sapiens (Human)"	"chaperone-mediated protein folding [GO:0061077]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; response to bacterium [GO:0009617]"	"GO:0000413; GO:0003755; GO:0005528; GO:0005654; GO:0005737; GO:0005829; GO:0006457; GO:0009617; GO:0016020; GO:0031072; GO:0061077; GO:0070062"	"transcript variant X1, mRNA"
"5"	"fbxo2"	13.1915168712249	-0.676214606234896	0.219258117831219	-3.07997221287224	0.00207019908270829	0.0233616527650752	"XM_060063676.1"	"Q17QK6"	1.65e-55	"F-box only protein 2"	"Bos taurus (Bovine)"	"glycoprotein catabolic process [GO:0006516]; protein ubiquitination [GO:0016567]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; regulation of protein ubiquitination [GO:0031396]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent ERAD pathway [GO:0030433]"	"GO:0001540; GO:0005737; GO:0005783; GO:0005829; GO:0006516; GO:0016020; GO:0016567; GO:0019005; GO:0030246; GO:0030433; GO:0031146; GO:0031396; GO:0043197; GO:0098978; GO:0099576"	"transcript variant X1, mRNA"
"6"	"LOC132466537"	372.435622584283	0.721379005503265	0.147052529617698	4.90638674200964	9.27695171408754e-07	6.68900208074381e-05	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"LOC132466614"	143.417003838018	0.718239743031028	0.14359991222594	4.9979529409175	5.7942120152104e-07	4.6952287201512e-05	"XM_060063880.1"	"Q6DTY7"	0	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4 (6PF-2-K/Fru-2,6-P2ase 4) (PFK/FBPase 4) (6PF-2-K/Fru-2,6-P2ase testis-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"	"Mus musculus (Mouse)"	"fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]"	"GO:0003873; GO:0004331; GO:0005524; GO:0005829; GO:0006000; GO:0006003"	"transcript variant X1, mRNA"
"8"	"ccdc3b"	44.04794736008	0.889903620695461	0.199190210314972	4.47201017435285	7.74877397868972e-06	0.00036839028180023	"XM_060063953.1"	"Q9BQI4"	3.09e-98	"Coiled-coil domain-containing protein 3 (Fat/vessel-derived secretory protein) (Favine)"	"Homo sapiens (Human)"	"lipid biosynthetic process [GO:0008610]; negative regulation of gene expression [GO:0010629]; negative regulation of lipid biosynthetic process [GO:0051055]; negative regulation of lipid metabolic process [GO:0045833]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of lipid biosynthetic process [GO:0046889]"	"GO:0005576; GO:0005783; GO:0008610; GO:0010629; GO:0010804; GO:0045600; GO:0045833; GO:0046889; GO:0051055"	"mRNA"
"9"	"glt8d1"	241.306970247175	0.629671199571665	0.196630382084266	3.20818174915238	0.00133577054997096	0.017425733992803	"XM_060056140.1"	"Q5U3H3"	8.03e-167	"Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"cellular macromolecule biosynthetic process [GO:0034645]; primary metabolic process [GO:0044238]"	"GO:0005794; GO:0008194; GO:0016020; GO:0034645; GO:0044238"	"mRNA"
"10"	"jph2"	38.2943734421362	0.624148460890581	0.204889002995117	3.03894618962868	0.00237407255164105	0.0255885861107291	"XM_060055482.1"	"Q9GKY7"	8.32e-159	"Junctophilin-2 (JP-2) (Junctophilin type 2) [Cleaved into: Junctophilin-2 N-terminal fragment (JP2NT)]"	"Oryctolagus cuniculus (Rabbit)"	"negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]"	"GO:0000122; GO:0001046; GO:0001227; GO:0001786; GO:0003677; GO:0005546; GO:0005547; GO:0005634; GO:0005886; GO:0010314; GO:0030314; GO:0032266; GO:0033017; GO:0045892; GO:0070273; GO:0070300; GO:0080025"	"transcript variant X1, mRNA"
"11"	"LOC132460928"	9.73773353274122	-0.598125048668528	0.21386206211862	-2.78892817651869	0.00528827914530908	0.0448982261310261	"XM_060055914.1"	"P36220"	0	"Tubulin alpha chain (EC 3.6.5.-) (Alpha T6) [Cleaved into: Detyrosinated tubulin alpha chain]"	"Torpedo marmorata (Marbled electric ray)"	"microtubule-based process [GO:0007017]"	"GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017; GO:0016787; GO:0046872"	"mRNA"
"12"	"LOC132460796"	19.7992861085966	0.622026532692159	0.218769794996891	2.85218325101257	0.00434200615547274	0.0394531969633301	"XM_060055658.1"	"P49282"	0	"Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2)"	"Mus musculus (Mouse)"	"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cadmium ion transmembrane transport [GO:0070574]; cellular response to oxidative stress [GO:0034599]; cobalt ion transport [GO:0006824]; copper ion import across plasma membrane [GO:0098705]; copper ion transport [GO:0006825]; dendrite morphogenesis [GO:0048813]; erythrocyte development [GO:0048821]; establishment of localization in cell [GO:0051649]; heme biosynthetic process [GO:0006783]; iron import into cell [GO:0033212]; iron ion transmembrane transport [GO:0034755]; iron ion transport [GO:0006826]; lead ion transport [GO:0015692]; learning or memory [GO:0007611]; manganese ion transport [GO:0006828]; multicellular organismal iron ion homeostasis [GO:0060586]; nickel cation transport [GO:0015675]; porphyrin-containing compound biosynthetic process [GO:0006779]; porphyrin-containing compound metabolic process [GO:0006778]; response to hypoxia [GO:0001666]; response to iron ion [GO:0010039]; response to manganese ion [GO:0010042]; transition metal ion transport [GO:0000041]; vanadium ion transport [GO:0015676]"	"GO:0000041; GO:0001666; GO:0005375; GO:0005381; GO:0005384; GO:0005506; GO:0005507; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005764; GO:0005765; GO:0005768; GO:0005769; GO:0005770; GO:0005773; GO:0005802; GO:0005886; GO:0006778; GO:0006779; GO:0006783; GO:0006824; GO:0006825; GO:0006826; GO:0006828; GO:0006919; GO:0007611; GO:0008270; GO:0009986; GO:0010039; GO:0010042; GO:0015086; GO:0015087; GO:0015093; GO:0015094; GO:0015099; GO:0015100; GO:0015295; GO:0015675; GO:0015676; GO:0015692; GO:0016020; GO:0016151; GO:0016324; GO:0022890; GO:0030145; GO:0031410; GO:0031526; GO:0031902; GO:0033212; GO:0034599; GO:0034755; GO:0045177; GO:0045178; GO:0046870; GO:0046915; GO:0048471; GO:0048813; GO:0048821; GO:0050897; GO:0051649; GO:0055037; GO:0060586; GO:0070574; GO:0070826; GO:0098705; GO:1903561; GO:1905394"	"mRNA"
