""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V1"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"	"transcript_type"
"1"	"p4htmb"	76.9989056841628	0.644811938710979	0.218272381521534	2.95266211558321	0.00315046595016966	0.0124728873016269	"XM_060060920.1"	"Q9NXG6"	1.74e-166	"Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4)"	"Homo sapiens (Human)"	"peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; regulation of erythrocyte differentiation [GO:0045646]"	"GO:0004656; GO:0005506; GO:0005509; GO:0005783; GO:0005789; GO:0016706; GO:0018401; GO:0031418; GO:0045646"	"mRNA"
"2"	"zc3h11a"	876.905211237686	0.67686155956836	0.167596731486608	4.03840656412457	5.38155211690456e-05	0.000471121273432815	"XM_060061997.1"	"O75152"	7.44e-69	"Zinc finger CCCH domain-containing protein 11A"	"Homo sapiens (Human)"	"poly(A)+ mRNA export from nucleus [GO:0016973]"	"GO:0003723; GO:0003729; GO:0005654; GO:0016973; GO:0046872"	"transcript variant X1, mRNA"
"3"	"LOC132465678"	11.7745945774227	1.17666855691828	0.259181893305134	4.51639751280097	6.2900538176643e-06	7.87515289435856e-05	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"LOC132465686"	153.292567234233	0.637573728171594	0.162569555909732	3.92172160079371	8.79185394449117e-05	0.000697291598243788	"XM_060062392.1"	"Q9EPW2"	5.74e-85	"Krueppel-like factor 15 (Cardiovascular Krueppel-like factor)"	"Mus musculus (Mouse)"	"cardiac muscle hypertrophy in response to stress [GO:0014898]; cellular glucose homeostasis [GO:0001678]; cellular response to peptide [GO:1901653]; glial cell differentiation [GO:0010001]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; podocyte differentiation [GO:0072112]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of glucose import [GO:0046326]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of Wnt signaling pathway [GO:0030111]; response to insulin [GO:0032868]"	"GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0001678; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006357; GO:0010001; GO:0010468; GO:0014898; GO:0016607; GO:0030111; GO:0032868; GO:0043231; GO:0045893; GO:0045944; GO:0046326; GO:0046872; GO:0072112; GO:1901653; GO:1990837; GO:2000757"	"transcript variant X1, mRNA"
"5"	"ppil1"	144.915457907868	-0.638101384607215	0.154592516533138	-4.12802147909654	3.65897943342571e-05	0.000343097321663047	"XM_060063184.1"	"Q9D0W5"	1.4e-90	"Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1)"	"Mus musculus (Mouse)"	"embryonic brain development [GO:1990403]; mRNA splicing, via spliceosome [GO:0000398]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]"	"GO:0000398; GO:0000413; GO:0003755; GO:0005634; GO:0006457; GO:0016018; GO:0071007; GO:0071013; GO:0097718; GO:1990403"	"mRNA"
"6"	"sfi1"	39.4638755896869	0.937805634962503	0.171738230189433	5.44932813266508	5.05604552661805e-08	1.38122403783656e-06	"XM_060062796.1"	"B0KWR6"	6.08e-85	"Protein SFI1 homolog"	"Callithrix jacchus (White-tufted-ear marmoset)"	""	"GO:0005737; GO:0005814; GO:0019902"	"transcript variant X1, mRNA"
"7"	"si:ch211-117k10.3"	77.8234702402654	0.833724066772971	0.210221175599376	3.96337069807602	7.38988965818982e-05	0.000606691131728167	"XM_060063331.1"	"Q9EPW2"	1.07e-50	"Krueppel-like factor 15 (Cardiovascular Krueppel-like factor)"	"Mus musculus (Mouse)"	"cardiac muscle hypertrophy in response to stress [GO:0014898]; cellular glucose homeostasis [GO:0001678]; cellular response to peptide [GO:1901653]; glial cell differentiation [GO:0010001]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; podocyte differentiation [GO:0072112]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of glucose import [GO:0046326]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of Wnt signaling pathway [GO:0030111]; response to insulin [GO:0032868]"	"GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0001678; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006357; GO:0010001; GO:0010468; GO:0014898; GO:0016607; GO:0030111; GO:0032868; GO:0043231; GO:0045893; GO:0045944; GO:0046326; GO:0046872; GO:0072112; GO:1901653; GO:1990837; GO:2000757"	"mRNA"
"8"	"LOC132466400"	172.082891741957	1.01639049612427	0.171108391992727	5.93705329894965	2.90190350089809e-09	1.14388620065293e-07	"XM_060063645.1"	"P21868"	0	"Casein kinase II subunit alpha (CK II) (EC 2.7.11.1)"	"Gallus gallus (Chicken)"	"peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; regulation of cell cycle [GO:0051726]; rhythmic process [GO:0048511]; Wnt signaling pathway [GO:0016055]"	"GO:0004674; GO:0005524; GO:0005634; GO:0005829; GO:0005956; GO:0016055; GO:0018105; GO:0018107; GO:0048511; GO:0051726; GO:0106310"	"transcript variant X1, mRNA"
"9"	"LOC132466526"	776.529865231618	-0.756736757330496	0.194648106325012	-3.88810794616969	0.000101028696307471	0.000776641371826269	"XM_060063781.1"	"Q2QL78"	7.72e-169	"F-actin-capping protein subunit alpha-2 (CapZ alpha-2)"	"Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)"	"barbed-end actin filament capping [GO:0051016]"	"GO:0003779; GO:0008290; GO:0051016"	"mRNA"
"10"	"mapkapk3"	15.8677950025614	-0.605976656417907	0.219668999650606	-2.75345122277014	0.00589705569418707	0.0205829378969869	"XM_060063941.1"	"Q16644"	0	"MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3) (EC 2.7.11.1) (Chromosome 3p kinase) (3pK)"	"Homo sapiens (Human)"	"intracellular signal transduction [GO:0035556]; macropinocytosis [GO:0044351]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; response to cytokine [GO:0034097]; response to lipopolysaccharide [GO:0032496]; signal transduction [GO:0007165]; toll-like receptor signaling pathway [GO:0002224]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]"	"GO:0002224; GO:0004674; GO:0004683; GO:0004708; GO:0005516; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0007165; GO:0009931; GO:0018105; GO:0032496; GO:0034097; GO:0035556; GO:0044351; GO:0046777; GO:0048010; GO:0051019; GO:0106310"	"transcript variant X1, mRNA"
"11"	"ccdc3b"	52.5190639766746	-0.669146025053668	0.213587017194546	-3.13398334647066	0.00172450642934009	0.00777851065423116	"XM_060063953.1"	"Q9BQI4"	3.09e-98	"Coiled-coil domain-containing protein 3 (Fat/vessel-derived secretory protein) (Favine)"	"Homo sapiens (Human)"	"lipid biosynthetic process [GO:0008610]; negative regulation of gene expression [GO:0010629]; negative regulation of lipid biosynthetic process [GO:0051055]; negative regulation of lipid metabolic process [GO:0045833]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of lipid biosynthetic process [GO:0046889]"	"GO:0005576; GO:0005783; GO:0008610; GO:0010629; GO:0010804; GO:0045600; GO:0045833; GO:0046889; GO:0051055"	"mRNA"
"12"	"LOC132466892"	36.6215221197226	-1.43495420448683	0.238026199516842	-6.02841367419761	1.65576797984751e-09	6.9821425336244e-08	"XM_060063956.1"	"P49892"	1.26e-110	"Adenosine receptor A1"	"Gallus gallus (Chicken)"	"G protein-coupled receptor signaling pathway [GO:0007186]"	"GO:0001609; GO:0004930; GO:0005886; GO:0007186; GO:0030425; GO:0045202"	"transcript variant X1, mRNA"
"13"	"LOC132460115"	39.8173862810042	-0.643641718762865	0.247925203733551	-2.59785136497559	0.00938090903292742	0.0295311342082563	"XM_060055158.1"	"O75037"	0	"Kinesin-like protein KIF21B"	"Homo sapiens (Human)"	"microtubule-based movement [GO:0007018]"	"GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0030425; GO:0030426; GO:0031410"	"mRNA"
