""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"
"1"	"XM_060056358.1"	300.655125504475	-0.821032736509045	0.223422566345807	-3.67511428011577	0.000237742973313852	0.00273107714060113	"Q6DG91"	2.26e-62	"Proteasome assembly chaperone 1"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"chaperone-mediated protein complex assembly [GO:0051131]; proteasome core complex assembly [GO:0080129]"	"GO:0005737; GO:0005783; GO:0051131; GO:0070628; GO:0080129"
"2"	"XM_060045078.1"	77.3062604935953	0.606413727270731	0.192149449436861	3.15478261498717	0.00160617732458195	0.0123421746742566	"Q5F339"	4.84e-113	"Holocytochrome c-type synthase (EC 4.4.1.17) (Cytochrome c-type heme lyase) (CCHL)"	"Gallus gallus (Chicken)"	"cytochrome c-heme linkage [GO:0018063]"	"GO:0004408; GO:0005739; GO:0005743; GO:0018063; GO:0046872"
"3"	"XR_009527854.1"	201.205491108387	-1.6799580415339	0.278305262142776	-6.0436004441505	1.50712474902061e-09	1.26358974597151e-07	NA	NA	NA	NA	NA	NA
"4"	"XM_060075995.1"	34.730600336063	-0.642885435099687	0.226414075990162	-2.83941357045962	0.0045196537021914	0.0272400750159104	NA	NA	NA	NA	NA	NA
"5"	"XM_060062002.1"	67.5987916706681	0.978827731613696	0.199084163043672	4.91400079559702	8.92363869846616e-07	2.89830673703486e-05	"Q8K4Q6"	1.18e-114	"Endonuclease 8-like 1 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase/AP lyase Neil1) (DNA-(apurinic or apyrimidinic site) lyase Neil1) (Endonuclease VIII-like 1) (Nei homolog 1) (NEH1) (Nei-like protein 1)"	"Mus musculus (Mouse)"	"base-excision repair [GO:0006284]; DNA repair [GO:0006281]; negative regulation of nuclease activity [GO:0032074]; response to oxidative stress [GO:0006979]"	"GO:0003684; GO:0003906; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0005815; GO:0006281; GO:0006284; GO:0006979; GO:0008022; GO:0008270; GO:0016798; GO:0016829; GO:0019104; GO:0032074; GO:0140078"
"6"	"XR_009524063.1"	277.212682702275	0.873422356793916	0.284343229386657	3.07268051019799	0.00212145483323137	0.0152001290154448	"Q66J69"	5.1e-137	"E3 ubiquitin-protein ligase RING2-A (EC 2.3.2.27) (RING finger protein 1B-A) (RING1b-A) (RING finger protein 2-A) (RING-type E3 ubiquitin transferase RING2-A)"	"Xenopus laevis (African clawed frog)"	"histone H2A monoubiquitination [GO:0035518]; histone H2A-K119 monoubiquitination [GO:0036353]; negative regulation of transcription by RNA polymerase II [GO:0000122]"	"GO:0000122; GO:0005634; GO:0005694; GO:0005737; GO:0031519; GO:0035102; GO:0035518; GO:0036353; GO:0046872; GO:0061630; GO:0071339"
"7"	"XM_060071423.1"	123.294643870153	1.18115582674738	0.262679982777463	4.49547227946769	6.94157015675378e-06	0.000155277253423724	NA	NA	NA	NA	NA	NA
"8"	"XM_060062282.1"	69.9225767693945	0.639893093068446	0.104711095063488	6.10924452968809	1.00103853175218e-09	8.80222133346802e-08	"Q9BGT1"	5.49e-40	"Tetratricopeptide repeat protein 9C (TPR repeat protein 9C)"	"Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)"	""	""
"9"	"XM_060050173.1"	501.275214778868	1.17487497508937	0.184735676573476	6.35945572788924	2.02469874551383e-10	2.1468754198142e-08	"Q9DBX3"	0	"Sushi domain-containing protein 2"	"Mus musculus (Mouse)"	"negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of cell division [GO:0051782]"	"GO:0005615; GO:0005886; GO:0051782; GO:1902807"
"10"	"XM_060039040.1"	1010.55050433925	-0.665077303170804	0.159395209984083	-4.17255614468738	3.01201345956987e-05	0.000507421052523021	"B3DFW5"	1.4e-22	"Short transmembrane mitochondrial protein 1"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"innate immune response [GO:0045087]; mitochondrial respirasome assembly [GO:0097250]; mitochondrial respiratory chain complex III assembly [GO:0034551]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]"	"GO:0005741; GO:0005743; GO:0005746; GO:0005758; GO:0032731; GO:0034551; GO:0045087; GO:0097250; GO:1900227"
