""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"
"1"	"XM_060064443.1"	13.5629740678377	-0.748312834457885	0.185517917111538	-4.02214732933433	5.7669965027849e-05	0.00251319007346467	"A4FUB0"	1.25e-54	"Uncharacterized protein C5orf34 homolog"	"Bos taurus (Bovine)"	""	""
"2"	"XM_060049697.1"	261.929722490214	-0.685475264615061	0.177557342064696	-3.85995848198185	0.000113406291640296	0.00409999854716766	"Q6DG38"	0	"Glycerol-3-phosphate acyltransferase 3 (GPAT-3) (EC 2.3.1.15) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10) (AGPAT 10) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 9) (1-AGP acyltransferase 9) (1-AGPAT 9) (EC 2.3.1.51) (Lysophosphatidic acid acyltransferase theta) (LPAAT-theta)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"CDP-diacylglycerol biosynthetic process [GO:0016024]; triglyceride biosynthetic process [GO:0019432]"	"GO:0003841; GO:0004366; GO:0005783; GO:0005789; GO:0016024; GO:0019432; GO:0102420"
"3"	"XM_060061635.1"	262.946535935842	-0.902439703999948	0.155202495258135	-5.81292699955835	6.13898371918884e-09	2.0148336409619e-06	"Q5PRA2"	0	"2-oxoadipate dehydrogenase complex component E1 (E1a) (OADC-E1) (OADH-E1) (EC 1.2.4.-) (2-oxoadipate dehydrogenase, mitochondrial) (Alpha-ketoadipate dehydrogenase) (Alpha-KADH-E1) (Dehydrogenase E1 and transketolase domain-containing protein 1) (Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"glycolytic process [GO:0006096]; tricarboxylic acid cycle [GO:0006099]"	"GO:0004591; GO:0005739; GO:0006096; GO:0006099; GO:0030976"
"4"	"XM_060047037.1"	15.4398821322477	-1.01376646243855	0.210718963497569	-4.795467749613	1.62295680245093e-06	0.000162334322073723	"O75417"	0	"DNA polymerase theta (EC 2.7.7.7) (DNA polymerase eta)"	"Homo sapiens (Human)"	"base-excision repair [GO:0006284]; cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; protein homooligomerization [GO:0051260]; somatic hypermutation of immunoglobulin genes [GO:0016446]"	"GO:0003682; GO:0003684; GO:0003887; GO:0005524; GO:0005654; GO:0005694; GO:0005794; GO:0005829; GO:0006261; GO:0006281; GO:0006284; GO:0006302; GO:0006974; GO:0016446; GO:0017116; GO:0042802; GO:0051260; GO:0051575; GO:0097681; GO:2000042"
"5"	"XM_060062002.1"	53.0408877926205	-0.639718433659632	0.208641136134617	-3.06477566275959	0.0021783332515464	0.0348878589400642	"Q8K4Q6"	1.18e-114	"Endonuclease 8-like 1 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase/AP lyase Neil1) (DNA-(apurinic or apyrimidinic site) lyase Neil1) (Endonuclease VIII-like 1) (Nei homolog 1) (NEH1) (Nei-like protein 1)"	"Mus musculus (Mouse)"	"base-excision repair [GO:0006284]; DNA repair [GO:0006281]; negative regulation of nuclease activity [GO:0032074]; response to oxidative stress [GO:0006979]"	"GO:0003684; GO:0003906; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0005815; GO:0006281; GO:0006284; GO:0006979; GO:0008022; GO:0008270; GO:0016798; GO:0016829; GO:0019104; GO:0032074; GO:0140078"
"6"	"XM_060065125.1"	51.0416086517293	-0.968942546180559	0.286128077808096	-3.40774199493464	0.000655027975176239	0.0150864721694922	"A5A6H4"	7.38e-111	"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]"	"Pan troglodytes (Chimpanzee)"	"cellular response to sodium arsenite [GO:1903936]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]"	"GO:0000398; GO:0003730; GO:0005634; GO:0005737; GO:0051028; GO:0071013; GO:1903936; GO:1990904"
"7"	"XM_060050173.1"	188.626583151946	1.21562288042281	0.185111259770226	6.56734828093532	5.12191543208697e-11	4.13791667888411e-08	"Q9DBX3"	0	"Sushi domain-containing protein 2"	"Mus musculus (Mouse)"	"negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of cell division [GO:0051782]"	"GO:0005615; GO:0005886; GO:0051782; GO:1902807"
"8"	"XM_060068071.1"	461.97722682118	-1.16323824474619	0.184687044448662	-6.2973767065316	3.02724970806092e-10	1.71857784102215e-07	"Q5RG82"	0	"Influenza virus NS1A-binding protein homolog A (NS1-BP homolog A) (NS1-binding protein homolog A)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	""	"GO:0005634; GO:0005737; GO:0005856"
"9"	"XM_060065952.1"	9069.31660641352	0.818621587932005	0.168662865385541	4.8541404002723	1.20910054399274e-06	0.000129577331257998	"F1QB54"	0	"Polyadenylate-binding protein 1A (PABP-1A) (Poly(A)-binding protein 1A)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"heart development [GO:0007507]; mRNA processing [GO:0006397]; regulation of translation [GO:0006417]; translation [GO:0006412]"	"GO:0003723; GO:0003730; GO:0005634; GO:0005829; GO:0006397; GO:0006412; GO:0006417; GO:0007507; GO:0008143; GO:0008266; GO:0010494; GO:1990904"
"10"	"XR_009525938.1"	15.9094097374364	0.897308151078254	0.274927172592175	3.27532885800008	0.00105539038852548	0.0212138517808398	NA	NA	NA	NA	NA	NA
"11"	"XM_060038802.1"	46.9680563408139	-0.660278113467117	0.157968691559715	-4.17895675517329	2.92849358857636e-05	0.00153399022015079	NA	NA	NA	NA	NA	NA
