ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DEVELOPMENTAL_STAGE	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q64591	2,4-dienoyl-CoA reductase 1(Decr1)	Rattus norvegicus			GO:0006635~fatty acid beta-oxidation,	GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:1902494~catalytic complex,	GO:0008670~2,4-dienoyl-CoA reductase (NADPH) activity,GO:0016491~oxidoreductase activity,GO:0042802~identical protein binding,GO:0070402~NADPH binding,	IPR002347:SDR_fam,IPR036291:NAD(P)-bd_dom_sf,					KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,	KW-0496~Mitochondrion,			KW-0809~Transit peptide,	KW-0521~NADP,	KW-0560~Oxidoreductase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	ACT_SITE:Proton acceptor,TRANSIT:Mitochondrion,
P51639	3-hydroxy-3-methylglutaryl-CoA reductase(Hmgcr)	Rattus norvegicus			GO:0006695~cholesterol biosynthetic process,GO:0006743~ubiquinone metabolic process,GO:0007584~response to nutrient,GO:0008284~positive regulation of cell proliferation,GO:0008299~isoprenoid biosynthetic process,GO:0008542~visual learning,GO:0010664~negative regulation of striated muscle cell apoptotic process,GO:0010666~positive regulation of cardiac muscle cell apoptotic process,GO:0015936~coenzyme A metabolic process,GO:0016126~sterol biosynthetic process,GO:0031667~response to nutrient levels,GO:0032874~positive regulation of stress-activated MAPK cascade,GO:0038183~bile acid signaling pathway,GO:0042177~negative regulation of protein catabolic process,GO:0042632~cholesterol homeostasis,GO:0043066~negative regulation of apoptotic process,GO:0045445~myoblast differentiation,GO:0045471~response to ethanol,GO:0045907~positive regulation of vasoconstriction,GO:0048643~positive regulation of skeletal muscle tissue development,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050709~negative regulation of protein secretion,GO:0060291~long-term synaptic potentiation,GO:0061179~negative regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0070328~triglyceride homeostasis,GO:0070372~regulation of ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070723~response to cholesterol,GO:1900222~negative regulation of beta-amyloid clearance,	GO:0005778~peroxisomal membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,	GO:0004420~hydroxymethylglutaryl-CoA reductase (NADPH) activity,GO:0030695~GTPase regulator activity,GO:0042802~identical protein binding,GO:0050661~NADP binding,GO:0051721~protein phosphatase 2A binding,GO:0070402~NADPH binding,	IPR000731:SSD,IPR002202:HMG_CoA_Rdtase,IPR004554:HMG_CoA_Rdtase_eu_arc,IPR004816:HMG_CoA_Rdtase_metazoan,IPR009023:HMG_CoA_Rdtase_NAD(P)-bd_sf,IPR009029:HMG_CoA_Rdtase_sub-bd_dom_sf,IPR023074:HMG_CoA_Rdtase_cat_sf,IPR023076:HMG_CoA_Rdtase_CS,IPR023282:HMG_CoA_Rdtase_N,	rno00900:Terpenoid backbone biosynthesis,rno01100:Metabolic pathways,rno04152:AMPK signaling pathway,rno04976:Bile secretion,				KW-0152~Cholesterol biosynthesis,KW-0153~Cholesterol metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,KW-0752~Steroid biosynthesis,KW-0753~Steroid metabolism,KW-0756~Sterol biosynthesis,KW-1207~Sterol metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0576~Peroxisome,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0521~NADP,	KW-0560~Oxidoreductase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	ACT_SITE:Charge relay system,ACT_SITE:Proton donor,CARBOHYD:N-linked (GlcNAc...) asparagine,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:SSD,MOTIF:INSIG-binding motif,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
Q29551	3-oxoacid CoA-transferase 1(OXCT1)	Sus scrofa			GO:0042182~ketone catabolic process,GO:0046950~cellular ketone body metabolic process,GO:0046952~ketone body catabolic process,	GO:0005739~mitochondrion,GO:0016020~membrane,	GO:0008260~3-oxoacid CoA-transferase activity,GO:0008410~CoA-transferase activity,GO:0042803~protein homodimerization activity,	IPR004163:CoA_transf_BS,IPR004164:CoA_transf_AS,IPR004165:CoA_trans_fam_I,IPR012791:3-oxoacid_CoA-transf_B,IPR012792:3-oxoacid_CoA-transf_A,IPR014388:3-oxoacid_CoA-transferase,IPR037171:NagB/RpiA_transferase-like,	ssc00280:Valine, leucine and isoleucine degradation,ssc00650:Butanoate metabolism,ssc01100:Metabolic pathways,		PIRSF000858:SCOT-t,	SM00882:CoA_trans,	KW-0443~Lipid metabolism,	KW-0472~Membrane,KW-0496~Mitochondrion,			KW-0732~Signal,KW-0809~Transit peptide,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0808~Transferase,	KW-0597~Phosphoprotein,	ACT_SITE:5-glutamyl coenzyme A thioester intermediate,MUTAGEN:C->A: Decreases KM for acetoacetyl-CoA 3-fold. No effect on KM for acetoacetate, succinyl-CoA and succinate.,MUTAGEN:C->S: Decreases KM for acetoacetate and acetoacetyl-CoA 2-fold. Increases KM for succinate 2-fold. Decreases KM for succinyl-CoA nearly 4-fold. Strongly reduces catalytic activity.,MUTAGEN:C->S: Similar specific activity to wild-type.,TRANSIT:Mitochondrion,TRANSMEM:Helical,
Q969T7	5'-nucleotidase, cytosolic IIIB(NT5C3B)	Homo sapiens			GO:0009117~nucleotide metabolic process,GO:0043928~exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0005515~protein binding,GO:0008253~5'-nucleotidase activity,	IPR006434:Pyrimidine_nucleotidase_eu,IPR023214:HAD_sf,IPR036412:HAD-like_sf,	hsa00240:Pyrimidine metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,				KW-0546~Nucleotide metabolism,	KW-0963~Cytoplasm,				KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,	KW-0007~Acetylation,	ACT_SITE:Nucleophile,ACT_SITE:Proton donor,REGION:Disordered,
Q9D110	5, 10-methenyltetrahydrofolate synthetase(Mthfs)	Mus musculus			GO:0006353~DNA-templated transcription, termination,GO:0006393~termination of mitochondrial transcription,GO:0006536~glutamate metabolic process,GO:0009396~folic acid-containing compound biosynthetic process,GO:0032392~DNA geometric change,GO:0035999~tetrahydrofolate interconversion,GO:0046653~tetrahydrofolate metabolic process,GO:0046657~folic acid catabolic process,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005829~cytosol,GO:0016020~membrane,GO:0042645~mitochondrial nucleoid,	GO:0000166~nucleotide binding,GO:0003690~double-stranded DNA binding,GO:0005524~ATP binding,GO:0005542~folic acid binding,GO:0016874~ligase activity,GO:0030272~5-formyltetrahydrofolate cyclo-ligase activity,GO:0046872~metal ion binding,	IPR002698:FTHF_cligase,IPR024185:FTHF_cligase-like_sf,IPR037171:NagB/RpiA_transferase-like,	mmu00670:One carbon pool by folate,mmu01100:Metabolic pathways,		PIRSF006806:FTHF_cligase,			KW-0472~Membrane,KW-0963~Cytoplasm,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0290~Folate-binding,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0436~Ligase,	KW-0007~Acetylation,	TRANSMEM:Helical,
Q9D110	5, 10-methenyltetrahydrofolate synthetase-like(Mthfsl)	Mus musculus			GO:0006353~DNA-templated transcription, termination,GO:0006393~termination of mitochondrial transcription,GO:0006536~glutamate metabolic process,GO:0009396~folic acid-containing compound biosynthetic process,GO:0032392~DNA geometric change,GO:0035999~tetrahydrofolate interconversion,GO:0046653~tetrahydrofolate metabolic process,GO:0046657~folic acid catabolic process,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005829~cytosol,GO:0016020~membrane,GO:0042645~mitochondrial nucleoid,	GO:0003690~double-stranded DNA binding,GO:0005524~ATP binding,GO:0005542~folic acid binding,GO:0030272~5-formyltetrahydrofolate cyclo-ligase activity,GO:0046872~metal ion binding,	IPR002698:FTHF_cligase,IPR024185:FTHF_cligase-like_sf,IPR037171:NagB/RpiA_transferase-like,	mmu00670:One carbon pool by folate,mmu01100:Metabolic pathways,		PIRSF006806:FTHF_cligase,			KW-0472~Membrane,KW-0963~Cytoplasm,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0290~Folate-binding,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0436~Ligase,	KW-0007~Acetylation,	TRANSMEM:Helical,
Q6IND6	5-hydroxymethylcytosine binding, ES cell specific L homeolog(hmces.L)	Xenopus laevis			GO:0006508~proteolysis,GO:0006974~cellular response to DNA damage stimulus,GO:0018142~protein-DNA covalent cross-linking,GO:0036297~interstrand cross-link repair,GO:0045830~positive regulation of isotype switching,	GO:0005657~replication fork,GO:0005694~chromosome,	GO:0003677~DNA binding,GO:0003697~single-stranded DNA binding,GO:0008233~peptidase activity,GO:0016787~hydrolase activity,	IPR003738:SRAP,IPR036590:SRAP-like,					KW-0227~DNA damage,	KW-0158~Chromosome,					KW-0238~DNA-binding,KW-0378~Hydrolase,KW-0645~Protease,	KW-0068~Autocatalytic cleavage,KW-0190~Covalent protein-DNA linkage,	ACT_SITE:Nucleophile,COMPBIAS:Basic and acidic residues,REGION:Disordered,SITE:Required for sensing abasic sites,SITE:Required to stabilize abasic sites,
O70212	5-hydroxytryptamine receptor 3A(Htr3a)	Cavia porcellus			GO:0006812~cation transport,GO:0007165~signal transduction,GO:0007268~chemical synaptic transmission,GO:0034220~ion transmembrane transport,GO:0042391~regulation of membrane potential,GO:0050877~neurological system process,GO:0098662~inorganic cation transmembrane transport,	GO:0005886~plasma membrane,GO:0030672~synaptic vesicle membrane,GO:0032154~cleavage furrow,GO:0043005~neuron projection,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:1904602~serotonin-activated cation-selective channel complex,	GO:0004890~GABA-A receptor activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0022848~acetylcholine-gated cation-selective channel activity,GO:0022850~serotonin-gated cation-selective channel activity,GO:0042802~identical protein binding,GO:0051378~serotonin binding,GO:0099507~ligand-gated ion channel activity involved in regulation of presynaptic membrane potential,	IPR006029:Neurotrans-gated_channel_TM,IPR006201:Neur_channel,IPR006202:Neur_chan_lig-bd,IPR008132:5HT3_rcpt,IPR008133:5HT3_rcpt_A,IPR018000:Neurotransmitter_ion_chnl_CS,IPR036719:Neuro-gated_channel_TM_sf,IPR036734:Neur_chan_lig-bd_sf,IPR038050:Neuro_actylchol_rec,	cpoc04726:Serotonergic synapse,cpoc04742:Taste transduction,				KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0628~Postsynaptic cell membrane,KW-0770~Synapse,KW-1003~Cell membrane,			KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0407~Ion channel,KW-0675~Receptor,KW-1071~Ligand-gated ion channel,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Neurotransmitter-gated ion-channel ligand-binding,DOMAIN:Neurotransmitter-gated ion-channel transmembrane,REGION:Disordered,REGION:HA-stretch; determines single-channel conductance in 5-HT3 receptors,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,
P25114	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4(Pfkfb4)	Rattus norvegicus			GO:0006000~fructose metabolic process,GO:0006003~fructose 2,6-bisphosphate metabolic process,GO:0046835~carbohydrate phosphorylation,	GO:0005829~cytosol,	GO:0003873~6-phosphofructo-2-kinase activity,GO:0004331~fructose-2,6-bisphosphate 2-phosphatase activity,GO:0005524~ATP binding,GO:0016787~hydrolase activity,	IPR001345:PG/BPGM_mutase_AS,IPR003094:6Pfruct_kin,IPR013078:His_Pase_superF_clade-1,IPR013079:6Phosfructo_kin,IPR027417:P-loop_NTPase,IPR029033:His_PPase_superfam,	rno00051:Fructose and mannose metabolism,rno01100:Metabolic pathways,rno04152:AMPK signaling pathway,		PIRSF000709:6PFK_2-Ptase,	SM00855:PGAM,						KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,KW-0418~Kinase,KW-0511~Multifunctional enzyme,KW-0808~Transferase,	KW-0597~Phosphoprotein,	ACT_SITE:Proton donor/acceptor,ACT_SITE:Tele-phosphohistidine intermediate,DOMAIN:6-phosphofructo-2-kinase,REGION:6-phosphofructo-2-kinase,REGION:Fructose-2,6-bisphosphatase,SITE:Transition state stabilizer,
Q9R001	ADAM metallopeptidase with thrombospondin type 1 motif 5(Adamts5)	Mus musculus			GO:0003180~aortic valve morphogenesis,GO:0003184~pulmonary valve morphogenesis,GO:0003203~endocardial cushion morphogenesis,GO:0006508~proteolysis,GO:0007520~myoblast fusion,GO:0022617~extracellular matrix disassembly,GO:0030198~extracellular matrix organization,GO:0042742~defense response to bacterium,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031012~extracellular matrix,	GO:0004175~endopeptidase activity,GO:0004222~metalloendopeptidase activity,GO:0008201~heparin binding,GO:0008233~peptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0016787~hydrolase activity,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0050840~extracellular matrix binding,	IPR000884:TSP1_rpt,IPR001590:Peptidase_M12B,IPR006586:ADAM_Cys-rich,IPR010294:ADAMTS_spacer1,IPR013273:ADAMTS/ADAMTS-like,IPR013276:Pept_M12B_ADAM-TS5,IPR024079:MetalloPept_cat_dom_sf,IPR036383:TSP1_rpt_sf,IPR041645:ADAMTS_CR_2,IPR045371:ADAMTS_CR_3,				SM00209:TSP1,SM00608:ACR,		KW-0272~Extracellular matrix,KW-0964~Secreted,			KW-0677~Repeat,KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	BINDING:in inhibited form,CARBOHYD:C-linked (Man) tryptophan,CARBOHYD:N-linked (GlcNAc...) asparagine,CARBOHYD:O-linked (Fuc...) serine,DOMAIN:Disintegrin,DOMAIN:Peptidase M12B,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 2,MOTIF:Cysteine switch,REGION:Disordered,REGION:Spacer,
